,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26
Latino,0,0,0,0,0,0,0,0,0,0,0,47,54,68,80,90,105,116,132,151,183,190,196,212,242,269,295,311,322,337,361,381,402,420,434,443,453,482,509,531,552,562,582,597,620,633,650,671,685,685,691,728,750,769,784,798,807,814,825,853
White,0,0,0,0,0,0,0,0,0,0,0,52,56,69,82,87,92,110,121,125,142,152,155,164,177,201,231,245,249,262,275,291,301,325,338,345,351,364,377,413,432,443,448,461,477,493,506,515,530,540,547,566,583,594,602,620,622,626,629,633
Black,0,0,0,0,0,0,0,0,0,0,0,23,26,28,34,39,47,56,65,71,80,83,87,93,102,109,115,118,119,122,129,133,135,144,144,147,149,156,243,253,258,272,274,203,208,212,217,224,227,231,232,245,250,256,257,261,261,264,270,275
American Indian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Asian,0,0,0,0,0,0,0,0,0,0,0,34,38,41,46,48,52,59,67,74,85,92,95,106,119,129,143,154,158,165,175,186,195,206,211,218,226,235,243,253,258,272,274,276,282,286,298,304,308,310,314,324,332,342,348,352,354,356,362,373
Native Hawaiian or Other Pacific Islander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,11,12,12,12,12,12,13,13,13,14,14,14,14,15,15,15,16,15,16,15,15,15,16,16,17,17,17,17,17,18
Other,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,10,10,11,12,10,12,17,16,15,14,19,18,18,20,19,22,23,25,25,25,26,27,27,24,26,26,26,26,26
