"","Antelope Valley","San Fernando","San Gabriel","Metro","West","South","East","South Bay","LA County","Age0.19","Age20.44","Age45.64","Age65.","ObesityBMI.30","ObesityBMI30.40","ObesityBMI.40","SmokingYes","ComorbidityYes"
"1",0.0183218854070934,0.0172568500302794,0.0184790078309595,0.0144118894717711,0.0124740405540345,0.0253315682650501,0.0270836944868945,0.0186322877909797,0.0201931307141263,1,0,0,0,1,0,0,0,0
"2",0.000199150928337972,5.99196181606925e-05,0.000119993557343893,6.21202132403928e-05,0,0.000844385608835002,0.000358249927075323,6.49208633832046e-05,0.000194789042258454,1,0,0,0,0,1,0,0,0
"3",0.000132767285558648,0,5.99967786719465e-05,0,0,0.000281461869611667,0.000286599941660259,6.49208633832046e-05,0.000194789042258454,1,0,0,0,0,0,1,0,0
"4",0.0556823340287259,0.0755142979831943,0.0666868994680979,0.0831645536394142,0.0975458313343674,0.0657095251558006,0.0867449177423689,0.0716235530023401,0.0751210434437801,0,1,0,0,1,0,0,0,0
"5",0.0597906690614728,0.0960641561585998,0.0882622696489813,0.0839260009630253,0.102201507881868,0.0502791135130184,0.0778710005477221,0.0818624343784124,0.0795343083416994,0,0,1,0,1,0,0,0,0
"6",0.0169757394716718,0.0321777707211789,0.0342648710649176,0.0254167806825341,0.0486929201437076,0.0185937778068613,0.0280944351113386,0.0271160691748068,0.0298870736362712,0,0,0,1,1,0,0,0,0
"7",0.0140405710250366,0.0177427430477864,0.0291863280317339,0.0201462029703174,0.0139725197090053,0.0377029736581978,0.0363706479624424,0.0192236571728402,0.0173951949259503,0,1,0,0,0,1,0,0,0
"8",0.0249254569950004,0.026050746101711,0.0284555918457025,0.0239384483863558,0.0126711056384843,0.0326780315141629,0.0304426892408665,0.023734739170246,0.0307951949266547,0,0,1,0,0,1,0,0,0
"9",0.00533186198310824,0.00401056546383724,0.0056220220057654,0.00582099928647714,0.00546207911662084,0.00753557040783764,0.0047957074128788,0.00260718656653235,0.00608426155703505,0,0,0,1,0,1,0,0,0
"10",0.00679648088792789,0.00545305068257867,0.00750760004455898,0.0091866421652424,0.00862019798545736,0.0200115208418895,0.0146713176953125,0.00812376743580825,0.00812487078312067,0,1,0,0,0,0,1,0,0
"11",0.00402151133077085,0.0090748041716287,0.0163556821849131,0.00752646679082063,0.0079451868036702,0.0063940945225731,0.0108513639856321,0.00884901683198493,0.00590014578709106,0,0,1,0,0,0,1,0,0
"12",0,0.00231530634736531,0.0023182878453614,0.00240033779303219,0.00112616702793753,0.00271893610664186,0,0.00125427774476519,0.00125444809725123,0,0,0,1,0,0,1,0,0
"13",0.0421351585642095,0.029255615327043,0.0276193865532954,0.038562493157123,0.0256139222878632,0.0240490439840358,0.0219892766191902,0.031244640886206,0.0271729429962737,0,1,0,0,1,0,0,1,0
"14",0.022733468904751,0.0164158605247848,0.0170240354879855,0.0182343706146946,0.0108363634874048,0.0144582408997059,0.0133200634106314,0.0184212403834127,0.015882536469504,0,0,1,0,1,0,0,1,0
"15",0.000880967064767443,0,0,0.0016487755004057,0.000773556376280908,0,0.00285256765216564,0,0,0,0,0,1,1,0,0,1,0
"16",0.016459359772118,0.00945423187778205,0.00338085943240165,0.00560082627168877,0.00394161140237747,0.0111023979363757,0.00807505117388007,0.00146333398683883,0.00951296276292333,0,1,0,0,0,1,0,1,0
"17",0.00598357227250101,0.00360061957830006,0.00450657027181416,0.00933213790689099,0.00175134450516326,0.00317123949564879,0.00538188385101464,0.00487643569237258,0.00390167839695504,0,0,1,0,0,1,0,1,0
"18",0,0,0,0,0,0,0,0,0.00124601130573764,0,0,0,1,0,1,0,1,0
"19",0.00223845080962235,0.00303072667079908,0.00202308629310082,0.00209468832682349,0.000982765398404325,0.00711815279561183,0.00241603143706562,0.00109456300616557,0.00328413499993106,0,1,0,0,0,0,1,1,0
