"","Antelope Valley","San Fernando","San Gabriel","Metro","West","South","East","South Bay","LA County","Age0.19","Age20.44","Age45.64","Age65.","ObesityBMI.30","ObesityBMI30.40","ObesityBMI.40","SmokingYes","ComorbidityYes"
"1",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"4",0.0139431816972197,0.0190152918793461,0.0175788503762862,0.0216982492060008,0.0257676125535048,0.0179425045549098,0.0239593618857158,0.0182735593683637,0.0194245748334032,0,1,0,0,1,0,0,0,0
"5",0.0389537809107318,0.0629371289468738,0.060533639123985,0.0569711137933512,0.0702416200107367,0.035720217674315,0.0559601295326738,0.0543405076459882,0.0535076856697957,0,0,1,0,1,0,0,0,0
"6",0.0267637292041906,0.0510156271134416,0.0568685972350382,0.0417523037508296,0.0809850319052996,0.0319665555812329,0.0488567959068933,0.0435579558739043,0.0486571619023714,0,0,0,1,1,0,0,0,0
"7",0.00406902437549029,0.00517077493627742,0.00890410900931447,0.00608332055978516,0.00427170510193793,0.011914927557099,0.0116263478143097,0.0056762872568071,0.00520571364539222,0,1,0,0,0,1,0,0,0
"8",0.0186323140789404,0.0195827276562632,0.0223922006899296,0.0186449679195938,0.00999215564210404,0.0266372774807884,0.0251011392674164,0.0180771916390643,0.0237712532336392,0,0,1,0,0,1,0,0,0
"9",0.00950949321391558,0.00719305588796408,0.0105554439316966,0.0108172781274653,0.010276789764031,0.0146556433101882,0.00943447862301336,0.00473776391092508,0.0112055145525149,0,0,0,1,0,1,0,0,0
"10",0.0022772226605203,0.00183734318235352,0.00264806117119843,0.00320715665210543,0.00304691016220769,0.00731158903961219,0.0054222216962935,0.00277333102943736,0.00281114543185719,0,1,0,0,0,0,1,0,0
"11",0.00344331163110001,0.00781364446401897,0.0147421621618929,0.00671460019797715,0.00717649121085682,0.00597002796868823,0.010248448338482,0.00771977932557949,0.00521669240724117,0,0,1,0,0,0,1,0,0
"12",0,0.00468498537826279,0.00491069852163329,0.00503251138013499,0.00239053026229525,0.00596595137090443,0,0.00257150264019284,0.00260656511006309,0,0,0,1,0,0,1,0,0
"13",0.0345195044073367,0.0241023010948953,0.0238198726865744,0.03291751180519,0.0221369109850659,0.0214846368247691,0.0198709034924547,0.0260806426538655,0.0229880456822813,0,1,0,0,1,0,0,1,0
"14",0.0441293560820047,0.0320446022473521,0.0347880339084561,0.0368803160814993,0.0221904677447677,0.0306046641460223,0.0285203548707009,0.0364337255274875,0.0318366377754574,0,0,1,0,1,0,0,1,0
"15",0.00360611113541465,0,0,0.00703206596959899,0.00334035340151225,0,0.0128795930081932,0,0,0,0,0,1,1,0,0,1,0
"16",0.0154253595451481,0.00891000521799849,0.0033354540332475,0.00546910719321528,0.00389688127821991,0.0113461736917511,0.00834746088742153,0.00139729674952802,0.00920626790040263,0,1,0,0,0,1,0,1,0
"17",0.0130947945846006,0.00792400496384875,0.0103822094199939,0.0212794928570309,0.00404325139466758,0.00756793636376135,0.0129914977383212,0.0108733528710574,0.00881728893608358,0,0,1,0,0,1,0,1,0
"18",0,0,0,0,0,0,0,0,0.00581330135121202,0,0,0,1,0,1,0,1,0
"19",0.00239551946272853,0.0032615817666934,0.00227914546388992,0.00233568105097077,0.00110948904307603,0.00830672313412283,0.0028519472052268,0.00119348165071782,0.00362926436275597,0,1,0,0,0,0,1,1,0
"20",0.00689488781269382,0,0,0.00336132915287094,0,0.0119543850492556,0,0.00687026109888929,0,0,0,1,0,0,0,1,1,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"22",0.0283440916377804,0.0268865365818733,0.0272100868534787,0.0333624700323411,0.0328781728626196,0.0312863001177523,0.0279684996739359,0.0269706534139815,0.0287569004165824,0,1,0,0,1,0,0,0,1
"23",0.139188997836909,0.148239391817794,0.154056994477562,0.137069274914092,0.17534650982431,0.102965956689186,0.138091020742237,0.158571016981992,0.135428209731337,0,0,1,0,1,0,0,0,1
"24",0.151045952082681,0.220735545885088,0.21843640465639,0.187036620017049,0.284026222981347,0.113483108862409,0.176228824625835,0.219739425660942,0.189172680485678,0,0,0,1,1,0,0,0,1
"25",0.0134825904421974,0.0087414326219981,0.0116822859421375,0.0124415651631961,0.00669052009713528,0.0233761711554911,0.0131851454465217,0.014633937252192,0.00972686633780548,0,1,0,0,0,1,0,0,1
"26",0.0726402920849165,0.0524481600914384,0.0612578645286599,0.0531193410446573,0.0420543484450864,0.0868250573984598,0.0805843189763382,0.0608657065263834,0.0683654069803689,0,0,1,0,0,1,0,0,1
"27",0.0374584457079131,0.0476008925837528,0.0475182929063274,0.0438273117125768,0.0393242750289194,0.0894806159166421,0.0921641380235027,0.0447895848686279,0.0378335761706044,0,0,0,1,0,1,0,0,1
"28",0.00631743016256369,0.00649883363911997,0.00881544442988484,0.00574898347005824,0.00624198158142359,0.0102229741446449,0.0105295609605043,0.00629486597460009,0.00978373470840291,0,1,0,0,0,0,1,0,1
"29",0.0295730856279552,0.0170820230469297,0.0217417862651269,0.0209704512702,0.0124516604605414,0.0574889611889139,0.0320070562863958,0.0187520189791085,0.0271538614095074,0,0,1,0,0,0,1,0,1
"30",0.0187440870369169,0.0306248595166686,0.0285336030766623,0.0182758727662381,0.0104176281663279,0.017332573730818,0.0401678489564155,0.0149417104965033,0.0492226829295682,0,0,0,1,0,0,1,0,1
"31",0.0418157830527918,0.0228939425633514,0.0334693975238944,0.0381826028081478,0.0276672190052873,0.0314551903959593,0.0300279067860224,0.0343913375179141,0.0402233813359966,0,1,0,0,1,0,0,1,1
"32",0.0957518140912957,0.0793552706749016,0.0435696629832286,0.0913304350802213,0.04434762073189,0.0649623490000965,0.0272598613266252,0.0684461708859418,0.0672770281318647,0,0,1,0,1,0,0,1,1
