"","Antelope Valley","San Fernando","San Gabriel","Metro","West","South","East","South Bay","LA County","age.0.19","Age20.44","Age45.64","Age65.","SexMale","SmokingYes","ComorbidityYes"
"1",0.0343935037867561,0.0433430215449041,0.0417994556360036,0.0383430974341163,0.0494094189941205,0.0527673211627028,0.0484488963072463,0.0367271123955534,0.0372966231212208,0,1,0,0,0,0,0
"2",0.03780295981881,0.0625357845449875,0.0693716832951962,0.0467876049770876,0.0667474089991432,0.0447863752189424,0.0731771342573073,0.0469691511096003,0.0589645688590716,0,0,1,0,0,0,0
"3",0.00778178146920681,0.0253536507117414,0.0236202862672091,0.0148847065401856,0.0393602477800689,0.0114122716380152,0.0256081110872357,0.0197240504399943,0.0169777267723651,0,0,0,1,0,0,0
"4",0.0322181121140608,0.0492122438022855,0.0431290661271259,0.0514336944373268,0.0623889191016778,0.0532097088464928,0.0553647881665323,0.040202566962887,0.0544028481982986,0,1,0,0,1,0,0
"5",0.0395840286314803,0.071386108134153,0.0652503520333137,0.055297384244386,0.0593014056723108,0.0485284020072414,0.0511849016762595,0.0500529904025031,0.0613562714423656,0,0,1,0,1,0,0
"6",0.00459058148233364,0.0236154826759412,0.0278678729734933,0.0204882909046866,0.035780344042903,0.0107716132734164,0.0293499309136181,0.021719586188269,0.0223420415691012,0,0,0,1,1,0,0
"7",0.0153979437607415,0.0130134262590618,0.00723324076903216,0.0147263113920546,0.00984934629118097,0.0148393743363483,0.0117888112655905,0.0128235892551449,0.0166124757497406,0,1,0,0,0,1,0
"8",0.0250929117382643,0.0239048721469926,0.0178659357253716,0.0284425495677311,0.0138710315026587,0.0185361388038168,0.013631459680618,0.016960430248364,0.0271389912054401,0,0,1,0,0,1,0
"9",0.00148823819722043,0.00306239751973788,0.0150576541679407,0.0071166187701294,0.00296164258961828,0.00523813585954549,0,0.0045265859060461,0.00899149909454146,0,0,0,1,0,1,0
"10",0.0142833637686073,0.0113557509510738,0.00656890055956082,0.0180068217067127,0.0116281473212643,0.0198045154327376,0.00879024092208723,0.0105318548239507,0.0111138657142893,0,1,0,0,1,1,0
"11",0.0290746099685448,0.0232663656839789,0.0196113508707489,0.0298661596035766,0.0160720619036894,0.0303210636204512,0.0194393541595094,0.0196516809015008,0.0314453576559114,0,0,1,0,1,1,0
"12",0.0101424695607215,0.00521762471974943,0.0153928785734146,0.0113167508109645,0.00504596137080783,0.00594972337196985,0.00381446974375998,0.00171383705212314,0.00680864767496135,0,0,0,1,1,1,0
"13",0.0603047638489794,0.0419512626164608,0.0471479411849796,0.044894255192777,0.0477306329061329,0.0615054274067973,0.0463908057277071,0.0493292330023748,0.0503732784035051,0,1,0,0,0,0,1
"14",0.111758270576081,0.111876680266909,0.119797812230274,0.103994818124774,0.0985784525290628,0.111273219363951,0.113824599661359,0.137193339519872,0.118009801985101,0,0,1,0,0,0,1
"15",0.0568168356399401,0.0709834412345832,0.069804400171548,0.0553089127816547,0.0817719281668459,0.046423371628701,0.0721176025973647,0.0617187797515584,0.0633416121144945,0,0,0,1,0,0,1
"16",0.0639361062772416,0.0486955680435383,0.0575480883728312,0.0730591368068562,0.055768560667395,0.074524650976517,0.0618316891086943,0.056824588175587,0.0581097050469121,0,1,0,0,1,0,1
"17",0.129705344944219,0.12974258252749,0.130503833864942,0.127493588963802,0.123322982387509,0.136956749221187,0.132520995144651,0.146114201406915,0.129155759534648,0,0,1,0,1,0,1
"18",0.0475478566429967,0.101509845647681,0.0829860160045346,0.0716213912897433,0.100535648385013,0.0613630144982882,0.0818111513204226,0.09159285802395,0.0634388396008089,0,0,0,1,1,0,1
"19",0.0350600755300488,0.00901803627147647,0.00886824591351294,0.0142505959903133,0.00784920315268276,0.0246801136021536,0.0128560610026571,0.0124410763947764,0.0158867027118928,0,1,0,0,0,1,1
"20",0.0820928353930616,0.0349500358716912,0.0329374497382803,0.0433170119725824,0.0338001562759713,0.0365328034132214,0.0287449451098279,0.040180224495879,0.0256541822109202,0,0,1,0,0,1,1
"21",0.027947400904812,0.0110592887841715,0.0261014233114494,0.0226163235314266,0.0149736030832637,0.0151332560291249,0.0169788326898259,0.0326938749255578,0.0216474367872968,0,0,0,1,0,1,1
"22",0.0339177008485736,0.0148047003952271,0.0124789654701869,0.0275233788010208,0.00920418160724433,0.0192936992679741,0.0208735677962304,0.0145887326776584,0.0134543965994646,0,1,0,0,1,1,1
"23",0.0699912511284141,0.0452166295738135,0.0296437183121648,0.0560414098514608,0.0275330565495704,0.0591997744045137,0.0495850529757142,0.0511580592115135,0.0606436639971705,0,0,1,0,1,1,1
"24",0.0290710539688846,0.02492520007235,0.0294134284268857,0.023169186304631,0.0265156587198652,0.0369492766158908,0.0218665986857811,0.0245615967284212,0.0268337039504787,0,0,0,1,1,1,1
"25",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"26",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
