"","Antelope Valley","San Fernando","San Gabriel","Metro","West","South","East","South Bay","LA County","age.0.19","Age20.44","Age45.64","Age65.","SexMale","SmokingYes","ComorbidityYes"
"1",0.0109976007318928,0.014222630454794,0.0132115050002589,0.0125164369575899,0.016286743092092,0.0180080505393452,0.0164428368581542,0.0118083922533516,0.0122319623289018,0,1,0,0,0,0,0
"2",0.0252001685553081,0.0427804608303505,0.0457109254407865,0.0318405419564546,0.0458685513629613,0.0318642486051186,0.0517755082932266,0.0314827609537892,0.0403156683407333,0,0,1,0,0,0,0
"3",0.010208963625685,0.0341336195484266,0.0306300653063122,0.0199349384112831,0.0532308524312768,0.0159791933813699,0.0356575502858873,0.0260184361800694,0.0228447947947786,0,0,0,1,0,0,0
"4",0.0107552188600256,0.0168589897108215,0.0142314567916694,0.0175282629655913,0.0214698789969456,0.0189578975938893,0.0196166181756173,0.0134944568092221,0.018627127901403,0,1,0,0,1,0,0
"5",0.0274822032253629,0.050860950847558,0.0447790168352516,0.0391929667100297,0.0424423589562407,0.0359590054798269,0.0377176616689009,0.0349417010642089,0.0436913647175384,0,0,1,0,1,0,0
"6",0.0062443780213031,0.0329653375690768,0.0374701514478128,0.0284511099216063,0.0501728729120139,0.0156380416437553,0.0423740428774313,0.0297067740055206,0.0311709068218702,0,0,0,1,1,0,0
"7",0.0101411863183222,0.00879542648655807,0.00470889595261251,0.00990129517968259,0.00668707834171439,0.0104308992273452,0.00824076216151592,0.00849215850168748,0.0112218765858509,0,1,0,0,0,1,0
"8",0.0325659915354647,0.0318374947766588,0.022919184149625,0.0376837198057489,0.0185577353120916,0.0256751296959067,0.0187770318273102,0.0221326069513888,0.0361253482466117,0,0,1,0,0,1,0
"9",0.00344954191795331,0.00728433246008261,0.0344989945756881,0.0168397126787012,0.00707659918322654,0.0129582353872875,0,0.0105497509287153,0.0213759871684733,0,0,0,1,0,1,0
"10",0.00979793434378452,0.00799390719481833,0.00445406812924051,0.0126099419744725,0.00822275829941664,0.0144993447195519,0.00639994348198893,0.00726425952770695,0.007819415096661,0,1,0,0,1,1,0
"11",0.0391280462129476,0.0321323160413504,0.0260880678490913,0.0410322793377602,0.0222971231847312,0.043551069388914,0.0277669021507488,0.0265923322698115,0.0434046141083381,0,0,1,0,1,1,0
"12",0.0242076154739553,0.0127796909975481,0.0363151868330607,0.0275741445521003,0.012415242078903,0.0151560210475025,0.00966304064000359,0.00411301493716184,0.0166676455424559,0,0,0,1,1,1,0
"13",0.0213189194972908,0.0152194101050849,0.0164754179949204,0.0162022875351087,0.017394571432677,0.0232063659145644,0.0174067149120934,0.0175347828171249,0.0182649665243526,0,1,0,0,0,0,1
"14",0.0818933413838722,0.0841293831590279,0.0867716680112418,0.0777951664341428,0.0744652902463392,0.0870241316790373,0.0885271295702007,0.101084462530464,0.0886935618080213,0,0,1,0,0,0,1
"15",0.0810693312179754,0.103938348650127,0.098451534054393,0.0805650470642615,0.120278155028813,0.0706962460564355,0.109217482421084,0.0885481187118863,0.0926987239275283,0,0,0,1,0,0,1
"16",0.0235915072426864,0.0184390335937099,0.0209894252452398,0.0275204820548512,0.0212129911960116,0.0293487481654539,0.0242154167372017,0.0210827986510243,0.0219919262729899,0,1,0,0,1,0,1
"17",0.0989422840563742,0.101565406685846,0.0984028029398339,0.0992851739799134,0.0969775144942511,0.111503275251028,0.107295147126646,0.11207247093478,0.10105153894046,0,0,1,0,1,0,1
"18",0.0702887070074844,0.153993358913356,0.121260586755185,0.108085978514128,0.153206666879767,0.0968147264523963,0.128362582689277,0.136144054521661,0.0961866801753462,0,0,0,1,1,0,1
"19",0.0253856192997941,0.00670079155011781,0.0063470626198659,0.0105336755878039,0.00585872962874041,0.0190722616604105,0.00987993693343115,0.00905764576899917,0.0117981463623895,0,1,0,0,0,1,1
"20",0.115903260638374,0.0506380809361526,0.0459664016911106,0.0624339604295292,0.0491939932940503,0.0550495184561963,0.0430747944825644,0.0570407486079656,0.037149559491517,0,0,1,0,0,1,1
"21",0.069312283554401,0.0281471997969682,0.0639872009206172,0.0572615086834322,0.038282304254893,0.0400572645425893,0.0446938681650781,0.0815300369185598,0.0550655977501997,0,0,0,1,0,1,1
"22",0.0255671683664891,0.01145236190704,0.00929811576852181,0.0211801957215849,0.00715227783400064,0.0155221493352239,0.0167002989404421,0.0110574822814908,0.010402208316523,0,1,0,0,1,1,1
"23",0.102389178548624,0.0678809175188655,0.0428650288018204,0.0836934267638735,0.041520990008866,0.0924294737119605,0.0769896625189971,0.0752500550414478,0.0909915012011675,0,0,1,0,1,1,1
"24",0.0741595503646287,0.0652505502656604,0.0741672368858404,0.0603377467803499,0.0697287215499771,0.100598702064891,0.0592050670821989,0.0630006988319628,0.0702088775758887,0,0,0,1,1,1,1
"25",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"26",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
