"","mean (95% CI) Alpha_t","mean (95% CI) Kappa_t","mean (95% CI) Delta_t"
"2020-05-01","0.124 (0.11,0.14)","0.589 (0.578,0.597)","0.556 (0.531,0.584)"
"2020-06-01","0.056 (0.037,0.082)","0.568 (0.557,0.58)","0.512 (0.494,0.534)"
