Alpha_t,Alpha_y,Kappa_y,Delta_y
2020-03-01,Alpha1,Kappa1,Delta1
2020-03-01,Alpha1,Kappa1,Delta1
2020-04-30,Alpha1,Kappa1,Delta1
2020-05-01,Alpha1,Kappa1,Delta1
2020-08-01,Alpha2,Kappa2,Delta2
2020-12-25,Alpha2,Kappa2,Delta2
2021-01-01,Alpha2,Kappa2,Delta3
2021-03-15,Alpha2,Kappa2,Delta3
2021-12-20,Alpha2,Kappa2,Delta3
