,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20
Latino,0,0,0,0,0,0,0,0,0,0,0,47,54,68,80,90,105,116,132,151,183,190,196,212,242,269,295,311,322,337,361,381,402,420,434,443,453,482,509,531,552,562,568,582,597,620,633,650,671,685,691,728,750,769,784,798,807,814,825,853,873,897,923,937,945,968,987,1007,1021,1050,1061,1065,1081,1119,1136,1148,1173,1181,1190,1206,1220,1232,1251,1278,1289,1294,1315,1328,1350,1360,1385,1392,1401,1425,1441,1464,1464,1464,1486,1514,1542,1587,1623,1661,1687,1698,1703,1738,1760,1796,1835,1860,1865,1869,1898
White,0,0,0,0,0,0,0,0,0,0,0,52,56,69,82,87,92,110,121,125,142,152,155,164,177,201,231,245,249,262,275,291,301,325,338,345,351,364,377,413,432,443,448,461,477,493,506,515,530,540,547,566,583,594,602,620,622,626,629,634,649,665,671,676,682,703,712,720,732,745,754,755,776,796,814,818,835,842,847,852,864,878,891,904,908,910,906,917,928,928,914,918,923,932,940,952,952,952,959,970,980,993,997,1001,1011,1018,1021,1041,1047,1048,1057,1070,1075,1081,1088
Black,0,0,0,0,0,0,0,0,0,0,0,23,26,28,34,39,47,56,65,71,80,83,87,93,102,109,115,118,119,122,129,133,135,144,144,147,149,156,163,181,188,193,196,203,208,212,217,224,227,231,232,245,250,256,257,261,261,264,270,275,278,282,290,291,295,298,307,312,313,320,323,324,330,333,337,336,340,344,346,347,349,352,355,357,358,361,366,373,379,383,386,392,394,397,401,406,406,406,409,411,412,416,419,424,431,434,434,438,441,445,448,459,460,460,463
American Indian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,5,5,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
Asian,0,0,0,0,0,0,0,0,0,0,0,34,38,41,46,48,52,59,67,74,85,92,95,106,119,129,143,154,158,165,175,186,195,206,211,218,226,235,243,253,258,272,274,276,282,286,298,304,308,310,314,324,332,342,348,352,354,356,362,373,379,388,398,402,404,416,420,426,445,453,458,460,463,467,473,476,482,486,487,490,495,498,503,507,507,512,518,524,527,531,544,547,550,552,553,559,559,559,562,565,570,579,578,581,584,586,587,594,601,606,614,614,614,614,618
Native Hawaiian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,13,14,14,14,15,15,16,17,18,18,18,18,18
Other,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,10,10,10,10,10,12,14,14,14,14,17,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,26,26,26,26,26,26,27,27,28,28,30,30,30,30,30,30,30,30,30,31,32
