"","mean (95% CI) Alpha_t","mean (95% CI) Kappa_t","mean (95% CI) Delta_t"
"2020-05-01","0.1782 (0.1625,0.1953)","0.5761 (0.5398,0.6127)","0.5543 (0.537,0.5726)"
"2020-06-01","0.0733 (0.0569,0.1028)","0.5891 (0.5645,0.6357)","0.4966 (0.4649,0.5154)"
