"","mean (95% CI)"
"R0","3.8535 (3.7358,3.9329)"
"R(t) 2020-03-27","0.8171 (0.7758,0.8547)"
"R(t) 2020-05-15","1.279 (1.2344,1.3204)"
"r(t) 2020-04-15","0.1462 (0.1313,0.1596)"
"r(t) 2020-08-15","0.1287 (0.1209,0.1383)"
